,pH
0,0.8554216867469878
1,0.4819277108433739
2,0.5542168674698794
3,0.4337349397590365
4,0.8554216867469878
5,0.8554216867469878
6,0.6024096385542168
7,0.7108433734939762
8,0.6746987951807228
9,0.6626506024096388
10,0.5783132530120482
11,0.6626506024096388
12,0.9397590361445786
13,0.5542168674698794
14,0.4337349397590365
15,0.4457831325301206
16,0.6024096385542168
17,0.3734939759036145
18,0.6987951807228916
19,0.2891566265060243
20,0.7108433734939762
21,0.8674698795180724
22,0.4457831325301206
23,0.4457831325301206
24,0.7590361445783136
25,0.6506024096385542
26,0.5783132530120482
27,0.4457831325301206
28,0.807228915662651
29,0.6987951807228916
30,0.6626506024096388
31,0.7951807228915664
32,0.4457831325301206
33,0.7831325301204823
34,0.6987951807228916
35,0.7228915662650602
36,0.746987951807229
37,0.5180722891566266
38,0.8433734939759038
39,0.6385542168674702
40,0.6385542168674702
41,0.5542168674698794
42,0.493975903614458
43,0.6024096385542168
44,0.819277108433735
46,0.5421686746987954
47,0.5421686746987954
48,0.6506024096385542
49,0.6265060240963856
50,0.4216867469879519
51,0.7228915662650602
52,0.7108433734939762
53,0.4819277108433739
54,0.4457831325301206
55,0.6506024096385542
56,0.2891566265060243
57,0.5542168674698794
58,0.7590361445783136
59,0.734939759036145
60,0.7710843373493976
61,0.493975903614458
62,0.6987951807228916
63,0.7108433734939762
64,0.734939759036145
65,0.734939759036145
66,0.746987951807229
67,0.7710843373493976
68,0.5783132530120482
69,0.6506024096385542
70,0.6265060240963856
71,0.6265060240963856
72,0.6144578313253014
73,0.6144578313253014
74,0.5783132530120482
75,0.8915662650602412
76,0.8915662650602412
77,0.8674698795180724
78,0.6987951807228916
79,0.4337349397590365
80,0.734939759036145
81,0.3975903614457832
82,0.6746987951807228
83,0.4337349397590365
84,0.7710843373493976
85,0.734939759036145
86,0.15662650602409678
87,0.7108433734939762
88,0.4096385542168678
89,0.819277108433735
90,0.5180722891566266
91,0.15662650602409678
92,0.15662650602409678
93,0.7108433734939762
96,0.7831325301204823
97,0.5421686746987954
98,0.7108433734939762
99,0.6024096385542168
100,0.7228915662650602
101,0.6144578313253014
102,0.6024096385542168
103,0.5903614457831328
104,0.6385542168674702
105,0.5903614457831328
106,0.3373493975903617
107,0.7951807228915664
108,0.6867469879518076
109,0.493975903614458
110,0.4698795180722893
111,0.4216867469879519
112,0.4216867469879519
113,0.6265060240963856
114,0.4698795180722893
115,0.3253012048192771
